work_order_number,type,summary,labor_cost,parts_cost,description
111,ServiceTask,Fuel Filter Replacement,0.0,0.0,
111,ServiceTask,Cabin Air Filter Replacement,0.0,0.0,
111,ServiceTask,Full vehical detail,0.0,0.0,
111,ServiceTask,HVAC (Miscellaneous),0.0,0.0,Hooked up gauges and tested pressures. Found no pressure in the system and a code for pressure switch out of range. Completed a rechage with a small amount of refrigerant to locate a leak. The compressor has failed. Replaced A/C Compressor and recharged the system. Tested operation to verify the repairs. Vent blow cold at 50 degrees.  
111,ServiceTask,Engine Coolant Drain & Refill,0.0,0.0,
111,ServiceTask,Engine Drive Belt Replacement,0.0,0.0,
112,ServiceTask,hydraulic hose replacement,0.0,0.0,Major Hyd Leak when rotating the basket. Looks like the long hyd lines throughout the mast. 
113,ServiceTask,Electrical System (Miscellaneous),0.0,0.0,Tailgate dogs will not function
114,ServiceTask,Brake Master Cylinder Replacement,0.0,0.0,
115,ServiceTask,Engine Oil Pump Replacement,0.0,0.0,
117,ServiceTask,HVAC (Miscellaneous),0.0,0.0,High and Low pressure lines have burnt through on the hot side of the turbo.  
117,ServiceTask,Rear Suspension (Miscellaneous),0.0,0.0,Replace all Brace Rod Bushings in the rear end
117,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
117,ServiceTask,Fuel Filter Replacement,0.0,0.0,
118,ServiceTask,Engine Oil & Filter Replacement,0.0,0.0,
118,ServiceTask,Engine Air Filter Replacement,0.0,0.0,
118,ServiceTask,Fuel Filter Replacement,0.0,0.0,
